Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,MeSH Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
"IEEE Standard for Space Applications Module, Extended Height Format E Form Factor",,,IEEE Std 1101.7-1995,20020806,1995,,,i,,"The design requirements for a module designated for use in spacecraft, boosters, and other highly rugged, conductively cooled environments are established in this standard. The requirements herein serve to specify the mechanical design of the module. Dimensions and tolerances for racks, modules, printed wiring boards, backplanes, and other connector-related dimensions that are specific to the use of 300-pin and 396-pin connectors are given. These dimensions and tolerances are designed to ensure mechanical function and interoperability.",,,10.1109/IEEESTD.1995.78993,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=475494,,Connectors;Cooling;IEEE standards;Layout of circuit boards;Packaging;Space vehicles,IEEE standards;cooling;electric connectors;modules;packaging;printed circuit design;space vehicles,IEEE standard;backplanes;boosters;conductively cooled environments;connector-related dimensions;extended height Format E form factor;interoperability;mechanical design;mechanical function;printed wiring boards;racks;space applications module;spacecraft;tolerances,,0,,18,,,,1995,,IEEE,IEEE Standards
"IEEE Standard for Spectrum Sensing Interfaces and Data Structures for Dynamic Spectrum Access and Other Advanced Radio Communication Systems - Amendment 1: Procedures, Protocols, and Data Archive Enhanced Interfaces",,,IEEE Std 1900.6a-2014 (Amendment to IEEE Std 1900.6-2011),20140529,2014,,,1,52,"Included in this amendment to IEEE Std 1900.6(TM) are procedures, protocols, and message format specifications for the exchange of sensing related data, control data, and configuration data between spectrum sensors and their clients. In addition, specifications for the exchange of sensing related and other relevant data and related interfaces between the data archive and other data sources have been added.",,,10.1109/IEEESTD.2014.6823063,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6823063,IEEE 1900.6(TM);cognitive radio;data archive enhanced interface;data structure;distributed spectrum sensing;dynamic spectrum access;logical interface;procedures;protocols;sensing information;spectrum sensor,Cognitive radio;Data processing;Distributed processing;IEEE standards;Remote sensing;Spread spectrum communication,IEEE standards;data structures;radio spectrum management,IEEE Std 1900.6-2011;IEEE Std 1900.6a-2014;advanced radio communication systems;clients;configuration data;control data;data archive enhanced interfaces;data sources;data structures;dynamic spectrum access;message format specifications;protocols;sensing related data exchange;spectrum sensing interfaces;spectrum sensors,,0,,,,,,June 6 2014,,IEEE,IEEE Standards
"IEEE Standard for Standard General Requirements for Liquid-Immersed Distribution, Power, and Regulating Transformers",,,IEEE Std C57.12.00-2006 (Revision of IEEE Std C57.12.00-1999),20070305,2007,,,c1,57,"Electrical, mechanical, and safety requirements are set forth for liquid-immersed distribution and power transformers, and autotransformers and regulating transformers; single and polyphase, with voltages of 601 V or higher in the highest voltage winding. This standard is a basis for the establishment of performance, limited electrical and mechanical interchangeability, and safety requirements of equipment described; and for assistance in the proper selection of such equipment. The requirements in this standard apply to all liquid-immersed distribution, power, and regulating transformers except the following: instrument transformers, step-voltage and induction voltage regulators, arc furnace transformers, rectifier transformers, specialty transformers, grounding transformers, mobile transformers, and mine transformers.",,,10.1109/IEEESTD.2007.323389,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4117960,,,IEEE standards;autotransformers;electrical safety;transformer windings,IEEE standard;liquid-immersed distribution transformers;mechanical interchangeability;power transformers;regulating transformers;safety requirements;transformer windings,,0,,19,,,,Feb. 28 2007,,IEEE,IEEE Standards
"IEEE Standard for Submersible, Three-Phase Transformers, 3750 kVA and Smaller: High Voltage, 34 500 GrdY/19 920 Volts and Below; Low Voltage, 600 Volts and Below",,,IEEE Std C57.12.24-2009 (Revision of IEEE Std C57.12.24-1994),20090818,2009,,,1,10,"This standard is intended for use as a basis for establishing the performance, electrical and mechanical interchangeability, and safety of the equipment covered, and to assist in the proper selection of such equipment.",,Electronic:978-0-7381-6006-1,10.1109/IEEESTD.2009.5207503,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5207503,C57.12.24-2009;copper-bearing steel;impedance;submersible;tank;tap charger;temperature;threephase;transformer,,IEEE standards;electrical safety;power transformer insulation;transformer oil,IEEE standard C57.12.24-2009;apparent power 3750 kVA;copper-bearing steel;impedance;submersible transformer;tank;tap charger;three-phase transformers;transformer safety;voltage 600 V,,0,,8,,,,Aug. 14 2009,,IEEE,IEEE Standards
"IEEE Standard for Submersible, Three-Phase Transformers, 3750 kVA and Smaller: High Voltage, 34 500 GrdY/19 920 Volts and Below; Low Voltage, 600 Volts and Below",,,IEEE Std C57.12.24-2016 (Revison of IEEE Std C57.12.24-2009),20170201,2017,,,1,31,"Certain electrical, dimensional, and mechanical characteristics are covered in this standard. It also takes into consideration certain safety features of three-phase, 60 Hz, liquid-immersed, self-cooled, submersible transformers with separable insulated high-voltage connectors. These transformers are rated 3750 kVA and smaller with high voltages of 34 500 GrdY/19 920 V and below and with low voltages of 600 V and below.",,Electronic:978-1-5044-3683-0,10.1109/IEEESTD.2017.7839169,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7839169,IEEE C57.12.24;distribution;submersible;three phase;transformers,IEEE Standards;Power distribution;Power transformers;Transformers;Underwater cables;Voltage control,IEEE standards;electric connectors;power transformers;safety,IEEE Std C57.12.24-2009 revision;IEEE Std C57.12.24-2016;IEEE standard;apparent power 3750 kVA;dimensional characteristics;electrical characteristics;frequency 60 Hz;liquid-immersed transformers;mechanical characteristics;safety features;self-cooled transformers;separable insulated high-voltage connectors;submersible three-phase transformers;voltage 19920 V;voltage 600 V,,,,,,,,Feb. 3 2017,,IEEE,IEEE Standards
"IEEE Standard for System Verilog- Unified Hardware Design, Specification, and Verification Language",,,IEEE Std 1800-2005,20051219,2005,,,0_1,648,"This standard provides a set of extensions to the IEEE 1364 Verilog hardware description language (HDL) to aid in the creation and verification of abstract architectural level models. It also includes design specification methods, embedded assertions language, testbench language including coverage and an assertions application programming interface (API), and a direct programming interface (DPI). This standard enables a productivity boost in design and validation and covers design, simulation, validation, and formal assertion-based verification flows.",,,10.1109/IEEESTD.2005.97972,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1560791,,,,,,2,,2,,,,2005,,IEEE,IEEE Standards
"IEEE Standard for SystemVerilog--Unified Hardware Design, Specification, and Verification Language - Redline",,,IEEE Std 1800-2009 (Revision of IEEE Std1800-2005) - Redline,20110816,2009,,,1,1346,"This standard represents a merger of two previous standards: IEEE Std 1364ŠÜ¢-2005 Verilog hardware description language (HDL) and IEEE Std 1800-2005 SystemVerilog unified hardware design, specification, and verification language. The 2005 SystemVerilog standard defines extensions to the 2005 Verilog standard. These two standards were designed to be used as one language. Merging the base Verilog language and the SystemVerilog extensions into a single standard provides users with all information regarding syntax and semantics in a single document.",,,,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5985443,1364-2005;1800-2009;HDL;HDVL;PLI;SystemVerilog;VPI;Verilog;assertions;design automation;design verification;hardware description language;programming language interface,CADCAM;Computer languages;Design automation;Formal verification;Hardware design languages;IEEE standards,IEEE standards;hardware description languages,2005 Verilog standard;IEEE Std 1364ŠÜ¢ 2005 Verilog hardware description language;IEEE Std 1800-2005 SystemVerilog unified hardware design;specification language;verification language,,0,,21,,,,Dec. 11 2009,,IEEE,IEEE Standards
"IEEE Standard for SystemVerilog--Unified Hardware Design, Specification, and Verification Language",,,IEEE STD 1800-2009,20091215,2009,,,1,1285,"This standard represents a merger of two previous standards: IEEE Std 1364ÎèÎè-2005 Verilog hardware description language (HDL) and IEEE Std 1800-2005 SystemVerilog unified hardware design, specification, and verification language. The 2005 SystemVerilog standard defines extensions to the 2005 Verilog standard. These two standards were designed to be used as one language. Merging the base Verilog language and the SystemVerilog extensions into a single standard provides users with all information regarding syntax and semantics in a single document.",,,10.1109/IEEESTD.2009.5354441,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5354441,1364-2005;1800-2009;HDL;HDVL;PLI;SystemVerilog;VPI;Verilog;assertions;design automation;design verification;hardware description language;programming language interface,,hardware description languages,IEEE standard;SystemVerilog-unified hardware design;Verilog language;hardware description language;programming language interface;specification language;verification language,,1,6,21,,,,Dec. 11 2009,,IEEE,IEEE Standards
"IEEE Standard for SystemVerilog--Unified Hardware Design, Specification, and Verification Language",,,IEEE Std 1800-2012 (Revision of IEEE Std 1800-2009),20130222,2013,,,1,1315,"The definition of the language syntax and semantics for SystemVerilog, which is a unified hardware design, specification, and verification language, is provided. This standard includes support for modeling hardware at the behavioral, register transfer level (RTL), and gate-level abstraction levels, and for writing testbenches using coverage, assertions, object-oriented programming, and constrained random verification. The standard also provides application programming interfaces (APIs) to foreign programming languages.",,,10.1109/IEEESTD.2013.6469140,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6469140,HDL;HDVL;IEEE 1800;PLI;SystemVerilog;VPI;Verilog;assertions;design automation;design verification;hardware description language;programming language interface,Computer languages;Design automation;Hardware design languages;IEEE standards;Programming,IEEE standards;Unified Modeling Language;application program interfaces;hardware description languages;object-oriented programming;programming language semantics,API;IEEE Std 1800-2009 revision;IEEE Std 1800-2012;IEEE standard;RTL;SystemVerilog;application programming interfaces;constrained random verification;foreign programming languages;gate-level abstraction levels;hardware modeling;hardware specification language;hardware verification language;language semantics;language syntax;object-oriented programming;register transfer level;testbench writing;unified hardware design language,,0,,,,,,Feb. 21 2013,,IEEE,IEEE Standards
"IEEE Standard for Testing and Performance for Optical Ground Wire (OPGW) Use on Electric Utility Power Lines -- Corrigendum 1: Stress-Strain Temperature Correction, Aeolian Vibration Velocity",,,IEEE Std 1138-2009/Cor 1-2014 (Corrigendum to IEEE Std 1138-2009),20140926,2014,,,1,14,This corrigendum corrects the temperature associated with the Stress-Strain clause; and corrects the use of the term velocity in the Aeolian Vibration clause of IEEE Std 1138(TM)-2009.,,,10.1109/IEEESTD.2014.6911930,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6911930,Aeolian vibration test;IEEE 1138(TM);OPGW;fiber optic ground wire;laboratory tests;optical ground wire;stress-strain test;type tests,Grounding;IEEE standards;Optical fiber communication;Vibration control;Wiring,IEEE standards;dynamic testing;earthing;optical fibres;power overhead lines;testing;vibrations,Aeolian vibration velocity correction;IEEE Std 1138-2009 corrigendum;IEEE Std 1381-2009/Cor 1-2014;electric utility power lines;optical ground wire performance;optical ground wire testing;stress-strain temperature correction;term correction,,0,,,,,,Sept. 26 2014,,IEEE,IEEE Standards
"IEEE Standard for Three-Phase, Manually Operated Subsurface Load Interrupting Switches for Alternating-Current Systems",,,ANSI/IEEE Std C37.71-1984,20021210,1984,,,1,24,"<div style=""font-variant: small-caps; font-size: .9em;"">First Page of the Article</div><img class=""img-abs-container"" style=""width: 95%; border: 1px solid #808080;"" src=""/xploreAssets/images/absImages/00579123.png"" border=""0"">",,,10.1109/IEEESTD.1984.81982,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=579123,,,,,,0,,7,,,,1984,,IEEE,IEEE Standards
"IEEE Standard for Three-Phase, Manually Operated Subsurface and Vault Load-Interrupting Switches for Alternating-Current Systems",,,IEEE Std C37.71-2001,20020807,2001,,,i,,"Requirements are given for three-phase group operated subsurface and vault load-interrupting switchgear with maximum ratings of 600 A and 38 kV, and for utilizing separable insulated connectors. Definitions are given, and service conditions and ratings are discussed. Design tests, production tests, and construction requirements are included.",,,10.1109/IEEESTD.2001.92775,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=935760,,Switchgear,IEEE standards;interrupters;switchgear;switchgear testing,38 kV;600 A;AC power systems;IEEE Standard;construction requirements;definitions;design tests;production tests;ratings;separable insulated connectors;service conditions;three-phase group operated subsurface switchgear;vault load-interrupting switchgear,,0,,6,,,,2001,,IEEE,IEEE Standards
"IEEE Standard for Transformers--Underground-Type, Self-Cooled, Single-Phase Distribution Transformers with Separable, Insulated, High-Voltage Connectors; High Voltage (24 940 GrdY/14 400 V and Below) and Low-Voltage (240/120 V, 167 kVA and Smaller)",,,IEEE Std C57.12.23-1992,20020806,1992,,,1,16,"Electrical, dimensional, and mechanical characteristics and certain safety features of single-phase, 60 Hz, mineral-oil-immersed, self-cooled, distribution transformers with separable insulated high-voltage connectors are covered. Ratings, testing, and construction are discussed. These transformers are generally used for step-down pruposes from an underground primary cable supply and are suitable for occasional submerged operation. The intent is to provide a basis for determining their performance, interchangeability, and safety, and for their selection. This standard does not cover the electrical and mechanical requirements of accessory devices that may be supplied with the transformer",,Electronic:978-0-7381-3475-8,10.1109/IEEESTD.1992.114374,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=210909,distribution;interchangeability;performance;safety;transformers,Power transformers;Safety;Standards,power transformers;safety;standards;transformer testing,100 kVA;120 V;167 kVA;240 V;2400 to 24940 V;25 kVA;37.5 kVA;50 kVA;60 Hz;75 kVA;IEEE standard;dimensional characteristics;distribution transformers;electrical characteristics;mechanical characteristics;mineral-oil-immersed;safety features;self-cooled;separable insulated high-voltage connectors;single-phase;step-down purposes;submerged operation;transformer construction;transformer ratings;transformer testing;underground primary cable supply,,0,,9,,,,Nov. 25 1992,,IEEE,IEEE Standards
"IEEE Standard for Transitions, Pulses, and Related Waveforms - Redline",,,IEEE Std 181-2011 (Revision of IEEE Std 181-2003) - Redline,20121220,2011,,,1,71,"Approximately 100 terms and their definitions, for accurately and precisely describing the waveforms of pulse signals and the process of measuring pulse signals, are presented in this standard. Algorithms are provided for computing the values of defined terms that describe measurable parameters of the waveform, such as transition duration, state level, pulse amplitude, and waveform aberrations. These analysis algorithms are applicable to two-state waveforms havingone or two transitions connecting these states. Compound waveform analysis is accomplished by decomposing the compound waveform into its constituent two-state single-transition waveforms.",,,,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6383175,IEEE 181;aberration;algorithms;compound waveform;histogram;levels;pulse;pulse amplitude;pulse definitions;pulse measurement;state boundaries;state levels;states;transients;transition duration;transitions;waveform analysis;waveform definitions;waveform parameters;waveform terms;waveforms,IEEE standards;Propagation;Pulse measurements;Pulse modulation;Signal analysis,,,,1,,,,,,Sept. 6 2011,,IEEE,IEEE Standards
"IEEE Standard for Transitions, Pulses, and Related Waveforms",,,IEEE Std 181-2011 (Revision of IEEE Std 181-2003),20110908,2011,,,1,71,"Approximately 100 terms and their definitions, for accurately and precisely describing the waveforms of pulse signals and the process of measuring pulse signals, are presented in this standard. Algorithms are provided for computing the values of defined terms that describe measurable parameters of the waveform, such as transition duration, state level, pulse amplitude, and waveform aberrations. These analysis algorithms are applicable to two-state waveforms having one or two transitions connecting these states. Compound waveform analysis is accomplished by decomposing the compound waveform into its constituent two-state single-transition waveforms.",,,10.1109/IEEESTD.2011.6016198,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6016198,IEEE 181;aberration;algorithms;compound waveform;histogram;levels;pulse;pulse amplitude;pulse definitions;pulse measurement;state boundaries;state levels;states;transients;transition duration;transitions;waveform analysis;waveform definitions;waveform parameters;waveform terms;waveforms,Histograms;IEEE standards;Pulse amplifiers;Pulse measurements;Signal analysis;Waveguide components,IEEE standards;measurement standards;pulse measurement;waveform analysis,IEEE standard;compound waveform analysis;measurable parameter;pulse signal measurement;pulse signal waveform;two state single transition waveform,,0,3,3,,,,Sept. 6 2011,,IEEE,IEEE Standards
"IEEE Standard for Type Test of Class 1E Electric Cables, Field Splices, and Connections for Nuclear Power Generating Stations",,,ANSI/IEEE Std 383-1974(R1992),20150220,1974,,,1,22,"Directions for establishing type tests that may be used in qualifying Class 1E electric cables, field splices, and other connections for service in nuclear power generating stations are provided. Though intended primarily for cable for field installation, this guide may also be used for the qualification of internal wiring of manufactured devices. It does not cover cables for service within the reactor vessel.",,,10.1109/IEEESTD.1974.7046319,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7046319,cables;class 1E;nuclear;splices;type,ANSI standards;Electric cables;IEEE standards;Nuclear power generation;Power cables;Splicing,,,,0,,,,,,Feb. 20 1974,,IEEE,IEEE Standards
"IEEE Standard for Type Test of Class Ie Electric Cables, Field Splices, and Connections for Nuclear Power Generating Stations",,,ANSI/IEEE Std 383-1974,20021210,1974,,,0_1,,"Directions for establishing type tests that may be used in qualifying Class 1E electric cables, field splices, and other connections for service in nuclear power generating stations are provided. Though intended primarily for cable for field installation, this guide may also be used for the qualification of internal wiring of manufactured devices. It does not cover cables for service within the reactor vessel.",,,10.1109/IEEESTD.1974.120627,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=20977,,Connectors;Nuclear power generation;Power cables;Standards,IEEE standards;electrical installation;nuclear power stations;power cables,ANSI/IEEE Std 383-1974(R1992);IEEE Reaffirmed 1980 ANSI Reaffirmed 1982;IEEE standard;cable installation;class IE electric cables;field installation;field splices;manufactured devices internal wiring qualification;nuclear power generating stations,,1,,13,,,,1974,,IEEE,IEEE Standards
"IEEE Standard for Underground Type, Self-Cooled, Single-Phase, Distribution Transformers With Separable Insulated High-Voltage Connectors; High Voltage 25 000 V and Below; Low Voltage 600 V and Below; 167 kVa and Smaller",,,IEEE Std C57.12.23-2002 (Revision of IEEE Std C57.12.23-1992),20021210,2002,,,0_1,9,"Electrical, dimensional, and mechanical characteristics and certain safety features of single-phase, 60 Hz, mineral-oil-immersed, self-cooled, distribution transformers with separable insulated high-voltage connectors are covered. Ratings, testing, and construction are discussed.",,,10.1109/IEEESTD.2002.94140,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1044293,,,,,,0,,9,,,,2002,,IEEE,IEEE Standards
"IEEE Standard for Ventilated Dry-Type Power Transformers, 501 kVA and Larger, Three-Phase, with High-Voltage 601 V to 34 500 V; Low-Voltage 208Y/120 V to 4160 V- General Requirements",,,IEEE Std C57.12.51-2008 (Revision of IEEE Std C57.12.51-1981),20090316,2009,,,c1,19,"Characteristics relating to performance, limited electrical and mechanical interchangeability, as well as safety of the equipment described, and to assist in the proper selection of such equipment, are set forth in this standard. Specific rating combinations are described in the range from 750/1000 kVA to 7500/10 000 kVA inclusive, with high-voltage 601 V to 34 500 V inclusive and low-voltage 208Y/120 V to 4160 V inclusive. This standard describes certain electrical and mechanical requirements and takes into consideration certain safety features of 60 Hz, two-winding, three-phase, ventilated dry-type transformers with self-cooled ratings 501 kVA and larger, which are generally used for step-down purposes. Clause 9 through Clause 11 describe other requirements or alternatives that may be specified for some applications and lists forced-air-cooled ratings for certain sizes.",,,10.1109/IEEESTD.2009.4801512,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4801512,ambient temperature;basic lightning impulse insulation level (BIL);construction;current transformer;dry-type;electrical;forced-air cooled;grounding;insulation level;jacking;limiting temperature;mechanical;percent impedance voltage;performance;rating;self-cooled;surge arresters;taps;temperature device;temperature rise;tests;transformer;transformer enclosure;unit substation;winding temperature,,IEEE standards;cooling;electrical safety;power transformers,IEEE standard C57.12.51-2008;apparent power 501 kVA;basic lightning impulse insulation level;current transformer;electrical requirement;equipment safety;forced-air-cooled rating;frequency 60 Hz;limiting temperature;mechanical requirement;power transformer alternatives;three-phase power transformer;transformer enclosure;two-winding power transformer;ventilated dry-type power transformers;ventilated dry-type transformers;voltage 120 V to 4160 V;voltage 601 V to 34500 V,,0,,3,,,,March 9 2009,,IEEE,IEEE Standards
"IEEE Standard for a Smart Transducer Interface for Sensors and Actuators - Common Functions, Communication Protocols, and Transducer Electronic Data Sheet (TEDS) Formats",,,IEEE Std 1451.0-2007,20071001,2007,,,1,335,It defines the functions that are to be performed by a transducer interface module (TIM) and the common characteristics for all devices that implement the TIM. It specifies the formats for Transducer Electronic Data Sheets (TEDS). It defines a set of commands to facilitate the setup and control of the TIM as well as reading and writing the data used by the system. Application programming interfaces (APIs) are defined to facilitate communications with the TIM and with applications.,,,10.1109/IEEESTD.2007.4338161,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4338161,actuator;application programming interface;communication protocol;networkcapableapplication processor;sensor;smart transducer;transducer electronic data sheet;transducer interface module,Actuators;Application programming interfaces;IEEE Standards;Protocols;Telecommunication services;Transducers,IEEE standards;application program interfaces;intelligent actuators;intelligent sensors;protocols;transducers,API;IEEE 1451.0-2007 standard;TEDS format;TIM;actuator;application programming interface;communication protocol;sensor;smart transducer interface;transducer electronic data sheet format,,7,1,13,,,,Sept. 21 2007,,IEEE,IEEE Standards
"IEEE Standard for an Advanced Library Format (ALF) Describing Integrated Circuit (IC) Technology, Cells, and Blocks",,,IEEE Std 1603-2003,20040303,2004,,,0_1,280,"ALF is a modeling language for library elements used in IC technology. ALF enables de-scription of electrical, functional, and physical models in a formal language suitable for electronic design automation (EDA) application tools targeted for design and analysis of an IC. This standard provides rules that describe ALF and how tool developers, integrators, library creators, and library users should use it.",,,10.1109/IEEESTD.2004.94429,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1269678,,,,,,0,,7,,,,2004,,IEEE,IEEE Standards
"IEEE Standard for the Common Test Interface Pin Map Configuration for High-Density, Single-Tier Electronics Test Requirements Utilizing IEEE Std 1505",,,IEEE Std 1505.1-2008 (Full-Use),20160119,2013,,,1,170,This standard represents an extension to the IEEE 1505 receiver fixture interface (RFI) standard specification. Particular emphasis is placed on defining within the IEEE 1505 RFI standard a more specific set of performance requirements that employ a common scalable: (a) pin map configuration; (b) specific connector modules; (c) respective contacts; (d) recommended switching implementation; and (e) legacy automatic test equipment (ATE) transitional devices. This is intentionally done to standardize the footprint and assure mechanical and electrical interoperability between past and future automatic test systems (ATS).,,,10.1109/IEEESTD.2013.7386555,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7386555,ATE;ATS;ICD;IEEE 1505.1;ITA;TPS;UUT;fixture;interface;mass termination;receiver;scalable,IEEE Standards;Receives;Scalability;Testing;User interfaces,,,,,,,,,,Aug. 1 2013,,IEEE,IEEE Standards
"IEEE Standard for the Design and Qualification of Class 1E Control Boards, Panels, and Racks Used in Nuclear Power Generating Stations - Redline",,,IEEE Std 420-2001 (Revision of ANSI/IEEE Std 420-1982) - Redline,20170308,2002,,,1,40,"This standard specifies the design requirements for new and/or modified Class 1E control boards, panels, and racks and establishes the methods to verify that these requirements have been satisfied. Methods for meeting the separation criteria contained in ANSI/IEEE Std 384-1992 are addressed. Qualification is also included to address the overall requirements of ANSI/IEEE Std 323-1983 and ANSI/IEEE Std 344-1987.",,Electronic:978-1-5044-3891-9,,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7873201,cabling;control boards;independence;isolation;nuclear;panels;qualification;racks;safety;separation;wiring,Control boards;IEEE Standards;Nuclear power generation;Power cables;Safety;Wiring,,,,,,,,,,Feb. 8 2002,,IEEE,IEEE Standards
"IEEE Standard for the Design and Qualification of Class 1E Control Boards, Panels, and Racks Used in Nuclear Power Generating Stations - Redline",,,IEEE Std 420-2013 (Revision of IEEE Std 420-2001) - Redline,20131108,2013,,,1,38,"This standard specifies the design requirements for new and/or modified Class 1E control boards, panels, and racks and establishes the methods to verify that these requirements have been satisfied. Methods for meeting the separation criteria contained in IEEE Std 384 are addressed. Qualification is also included to address the overall requirements of IEEE Std 323 and recommendations of IEEE Std 344.",,,,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6658825,control boards;fiber optic cables;independence;isolation;nuclear;panels;qualification;racks;safety;separation;wiring,Electrical safety;IEEE standards;Nuclear power generation;Safety,,,,0,,,,,,June 5 2013,,IEEE,IEEE Standards
"IEEE Standard for the Design and Qualification of Class 1E Control Boards, Panels, and Racks Used in Nuclear Power Generating Stations",,,IEEE Std 420-1982,20021210,1982,,,1,16,"Design requirements that are unique to Class 1E control boards, panels, and racks are specified. Standards for qualification tests to verify that these design requirements have been satisfied are provided. This standard is not intended to define the selection, design, or qualification of piping, modules, or other equipment mounted on the Class 1E control boards, panels, or racks. It is concerned, however, with the effect such mounted equipment has on the design and qualifications. Qualification and testing of individual Class 1E control board components and modules and external field-run cables are not covered.",,,10.1109/IEEESTD.1982.81709,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=574823,1E;control;panels;qualifications;racks,,,,,0,,12,,,,Dec. 7 1982,,IEEE,IEEE Standards
"IEEE Standard for the Design and Qualification of Class 1E Control Boards, Panels, and Racks Used in Nuclear Power Generating Stations",,,IEEE Std 420-2001 (Revision of ANSI/IEEE Std 420-1982),20020807,2002,,,1,16,"This standard specifies the design requirements for new and/or modified Class 1E control boards, panels, and racks and establishes the methods to verify that these requirements have been satisfied. Methods for meeting the separation criteria contained in ANSI/IEEE Std 384-1992 are addressed. Qualification is also included to address the overall requirements of ANSI/IEEE Std 323-1983 and ANSI/IEEE Std 344-1987.",,Electronic:978-0-7381-3008-8,10.1109/IEEESTD.2002.93396,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=985279,cabling;control boards;independence;isolation;nuclear;panels;qualification;racks;safety;separation;wiring,,IEEE standards;nuclear power stations;power generation control,ANSI-IEEE Std 323-1983;ANSI-IEEE Std 344-1987;ANSI-IEEE Std 384-1992;IEEE Std 420-1982 Revision;IEEE Std 420-2001;IEEE standard;class 1E control boards;class 1E control panels;class 1E control racks;nuclear power generating stations,,1,,11,,,,Feb. 8 2002,,IEEE,IEEE Standards
"IEEE Standard for the Design and Qualification of Class 1E Control Boards, Panels, and Racks Used in Nuclear Power Generating Stations",,,IEEE Std 420-2013 (Revision of IEEE Std 420-2001),20130531,2013,,,1,22,"This standard specifies the design requirements for new and/or modified Class 1E control boards, panels, and racks and establishes the methods to verify that these requirements have been satisfied. Methods for meeting the separation criteria contained in IEEE Std 384 are addressed. Qualification is also included to address the overall requirements of IEEE Std 323 and recommendations of IEEE Std 344.",,,10.1109/IEEESTD.2013.6522447,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6522447,control boards;fiber optic cables;independence;isolation;nuclear;panels;qualification;racks;safety;separation;wiring,Control systems;Electrical safety;IEEE standards;Nuclear power generation;Optical fiber cables;Power system reliability;Wiring,,,,0,,,,,,June 5 2013,,IEEE,IEEE Standards
"IEEE Standard for the Functioning of Interfaces Among Propulsion, Friction Brake, and rain-Borne Master Control on Rail Rapid Transit Vehicles - Redline",,,IEEE Std 1475-2012 (Revision of IEEE Std 1475-1999) - Redline,20130826,2013,,,1,128,"The interfaces between and among functional systems on rail 1 rapid transit vehicles are prescribed. The systems themselves are treated as ""black boxes;"" requirements for the input signals and the output response are given. For each category of interface, three types are listed in increasing technical sophistication.",,,,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6587155,friction brake;interfaces;master control;propulsion;rail vehicles;rapid transit,Control systems;Friction;IEEE standards;Interferences;Propulsion;Railway communication;Railway transportation,,,,0,,,,,,March 4 2013,,IEEE,IEEE Standards
"IEEE Standard for the Functioning of Interfaces Among Propulsion, Friction Brake, and rain-Borne Master Control on Rail Rapid Transit Vehicles",,,IEEE Std 1475-2012 (Revision of IEEE Std 1475-1999),20130307,2013,,,1,67,"The interfaces between and among functional systems on rail rapid transit vehicles are prescribed. The systems themselves are treated as Š—“black boxesŠ—; requirements for the input signals and the output response are given. For each category of interface, three types are listed in increasing technical sophistication.",,,10.1109/IEEESTD.2013.6471990,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6471990,friction brake;interfaces;master control;propulsion;rail vehicles;rapid transit,Brakes;Control systems;Fricton;IEEE standards;Rail transportation;Railway electrification;Rapid transit systems,IEEE standards;brakes;friction;propulsion;railways;rapid transit systems,IEEE Std 1475-2012;IIEEE standard;black boxes;friction brake;functional systems;propulsion;rail rapid transit vehicles;train-borne master control,,0,,,,,,March 4 2013,,IEEE,IEEE Standards
