http://ieeexplore.ieee.org/search/searchresult.jsp?bulkSetSize=2000&refinements%3D4294965216%2C4226526127%26queryText%3Dstandards,6/29/17 15:42,,,,,,,,,,,,,,,text,,,,,,,,,,,,,,,
Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,MeSH Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier,Category
IEEE Standard for Qualifying Permanent Connectors Used in Substation Grounding,,,IEEE Std 837-1984,20160323,1984,,,1,20,"This standard provides direction and methods for qualifying permanent connections used for substation grounding. It particularly addresses the connectors used within the grid system, connectors used to join ground leads to the grid system, and connectors used to join the ground leads to equipment and structures.",,,10.1109/IEEESTD.1984.7439710,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7439710,,Connectors;Grounding;IEEE Standards;Performance evaluation;Substations,IEEE standards;earthing;power grids;power system protection;substation protection,IEEE standard;connector;grid system;permanent connection;substation grounding,,,,,,,,Feb. 2 1984,,IEEE,IEEE Standards,
AIEE-FEMA-NEMA Standards Publication for Arc Furnace Transformer,,,AIEE No 78-1960,20160322,1958,,,1,12,"This standard covers electrical characteristics and mechanical features of 3-phase, 60cycle, 2-winding, mineral-oil-immersed indoor transformers rated 250 to 35000 kva, inclusive, high voltage 2400 to 34400 volts, inclusive, used for supplying electric power to direct arc ferrous-melting furnaces. 17-00.012 All characteristics and definitions, except as specifically covered in this standard, shall be in accordance with the American Standard Requirements, Terminology and Test Code for Distribution, Power and Regulating Transformers, and Reactors Other Than Current-Limiting Reactors, C57.12-1958, or the latest revision thereof approved by the American Standards Association, Incorporated. Certain information in the American Standard and in this First Report may eventually be included in sections which will be prepared for general requirements, terminology and test code for arc furnace transformers.",,,10.1109/IEEESTD.1958.7438710,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7438710,,AIEE Standards;FEMA Standards;Furnaces;NEMA Standards;Power transformers;Transformers,current limiting reactors;furnaces;transformer oil;transformer windings,AIEE-FEMA-NEMA standards publication;American Standard Requirements;arc ferrous-melting furnaces;arc furnace transformer;current-limiting reactors;mineral-oil-immersed indoor transformers;voltage 2400 V to 34400 V,,,,,,,,Dec. 17 1958,,IEEE,IEEE Standards,
ISO/IEC/IEEE International Standard - Information technology - Local and metropolitan area networks - Part 5: Token ring access method and physical layer specifications,,,ISO/IEC 8802-5:1992 IEEE Std 802.5-1992 First edition 1992-06-12,20160322,1992,,,1,112,"This Local and Metropolitan Area Network standard, ISO/IEC 8802-5 :1992, is part of a family of local area network (LAN) standards dealing with the physical and data link layers as defined by the ISO Open System Interconnection Reference Model. Its purpose is to provide compatible interconnection of data processing equipment by means of a local area network using the token-passing ring access method. The frame format, including delimiters, addressing, and frame-check sequence, are defined, and medium access control (MAC) frames, timers, and priority stacks are defined. The MAC protocol is defined. The finite-state machine and state tables are supplemented with a prose description of the algorithms. The physical layer (PHY) functions of symbol encoding and decoding, symbol time, and latency buffering are defined. The services provided by the MAC to the station management (SMT) and the services provided by the PHY to SMT and the MAC are described. These services are defined in terms of service primitives and associated parameters. The 4 and 16 Mb/s, shielded twisted pair attachment of the station to the medium, including the medium interface connector (MIC) are also defined. The applications environment for the LAN is intended to be commercial and light industrial. The use of token ring LANs in home and heavy industrial environments, while not precluded, has not been considered in the development of the standard. A Protocol Implementation Conformance Statement (PICS) proforma is provided as an annex to the standard.",,,10.1109/IEEESTD.1992.7438707,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7438707,data processing interconnection;local area network (LAN);medium access control (MAC);token ring,IEC Standards;IEEE Standards;ISO Standards;Information technology;Local area networks;Media Access Protocol;Metropolitan area networks;Physical layer;Token networks,IEC standards;ISO standards;access protocols;local area networks;metropolitan area networks,IEEE information technology;ISO open system interconnection reference model;ISO/IEC 8802-5 :1992;LAN;MAC protocol;MIC;Protocol Implementation Conformance Statement;SMT;finite-state machine;latency buffering;local area networks;medium access control frames;medium interface connector;metropolitan area networks;physical layer functions;physical layer specifications;state tables;station management;symbol decoding;symbol encoding;token ring access method;token-passing ring access method,,,,,,,,June 12 1992,,IEEE,IEEE Standards,network
IEEE Standard Functional Methods and Equipment for Measuring the Performance of Dial-Pulse (DP) Address Signaling Systems,,,IEEE Std 753-1983,20160321,1983,,,1,36,The following topics are dealt with: IEEE standard functional method; dial-pulse address signaling system; performance measurement; limited-performance instruments; general-purpose instruments; high-performance instruments; dial pulse address signaling technique.,,,10.1109/IEEESTD.1983.7437341,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7437341,address;dial;pulse;signaling;systems,Adress signaling systems;Dial pulse measurement systems;IEEE standards;Power system measurements;Signal processing,IEEE standards;instruments,IEEE standard functional method;dial pulse address signaling techniques;dial-pulse address signaling system;general-purpose instruments;high-performance instruments;limited-performance instruments;performance measurement,,,,,,,,June 23 1983,,IEEE,IEEE Standards,systems
"IEEE Trial use Standard Definitions for Use in Reporting Electric Generating Unit Reliability, Availability, and Productivity",,,ANSI/ IEEE Std 762-1980,20160321,1980,,,1,22,"This standard is intended to aid the electric power industry in reporting and evaluating electric generating unit reliability, availability, and productivity. This standard was developed to overcome present difficulties in the interpretation of electric generating unit performance data from various systems and to facilitate comparisons among different systems. It should also make possible the future exchange of meaningful data among systems in the United States, Canada, and throughout the world.",,,10.1109/IEEESTD.1980.7437350,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7437350,,Electrical machinery;IEEE Standards;Power system reliability;Productivity;Terminology,ANSI standards;IEEE standards;electricity supply industry,ANSI-IEEE Std 762;IEEE trial use standard definitions;electric generating unit availability;electric generating unit productivity;electric generating unit reliability;electric power industry,,,,,,,,Dec. 18 1980,,IEEE,IEEE Standards,
AIEE Standard for Aircraft Direct- Current Apparatus Voltage Ratings,,,AIEE No 700-1953,20160318,1953,,,1,4,"It has been widely recognized that there is a distinct need for preferred voltage ratings for aircraft direct-current electric apparatus which will be generally acceptable to manufacturers and users to serve as a basis for voltage standards for aircraft systems and equipment. Many difficulties and much confusion will be eliminated by adopting suitable standard voltage ratings for all aircraft electric equipment. These standard voltages should then be made a part of specifications and nameplates marked accordingly. Apparatus should be designed for satisfactory operation over the voltage ranges given in the table, but with performance not necessarily the same as guaranteed at rated voltage. Performance data and acceptance tests should be on the basis of standard voltages. It is recognized that special applications may require operation over other voltage ranges than those shown as standard.",,,10.1109/IEEESTD.1953.7436700,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7436700,,AIEE Standards;Aerospace electronics;Aircraft;DC machines;Voltage measurement,IEEE standards;aircraft power systems;measurement standards;power apparatus;voltage measurement,AIEE 700-1953;aircraft direct-current apparatus;aircraft electric equipment;aircraft systems;electric apparatus;standard voltage ratings;voltage standards,,,,,,,,Oct. 30 1953,,IEEE,IEEE Standards,
IEEE Standard for Boundary-Scan Testing of Advanced Digital Networks,,,IEEE Std 1149.6-2015 (Revision of IEEE Std 1149.6-2003),20160318,2016,,,1,230,IEEE Std 1149.1(TM) is augmented by this standard to improve the ability for testing differential and/or ac-coupled interconnections between integrated circuits on circuit boards and systems.,,,10.1109/IEEESTD.2016.7436703,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7436703,IEEE 1149.6(TM);ac-coupled signaling;boundary scan;circuit boards;differential signaling;integrated circuits;interconnect test;printed circuit boards;test,AC machines;Boundary scan testing;Differential equations;Digital systems;IEEE Standards;Integrated circuits;Interconnections;Network topology;Printed circuits,IEEE standards;boundary scan testing;integrated circuit interconnections;integrated circuit testing;printed circuit interconnections;printed circuit testing,IEEE Std 1149.1;IEEE Std 1149.6-2003 revision;IEEE Std 1149.6-2015;IEEE standard;ac-coupled interconnections;advanced digital networks;boundary-scan testing;circuit boards;differential testing;integrated circuits,,,,,,,,March 18 2016,,IEEE,IEEE Standards,circuit
AIEE Standard for Aircraft Direct- Current Apparatus Voltage Ratings,,,AIEE No 700-1947,20160318,1974,,,1,4,Aircraft Direct-Current Apparatus Voltage Ratings,,,10.1109/IEEESTD.1974.7436694,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7436694,,AIEE Standards;Aerospace electronics;Aircraft;DC machines;Voltage measurement,,,,,,,,,,July 15 1974,,IEEE,IEEE Standards,
IEEE Standard Software Quality Assurance Plans,,,ANSI/ IEEE Std 730-1984 (Revision of ANSI/ IEEE Std 730-1981),20160317,1984,,,1,12,"The purpose of this standard is to provide uniform, minimum acceptable requirements for preparation and content of Software Quality Assurance Plans (SQAP). In considering adoption of this standard, regulatory bodies should be aware that specific application of this standard may already be covered by one or more IEEE or ANSI standards documents relating to quality assurance, definitions, or other matters. It is not the purpose of IEEE Std 730 to supersede, revise or amend existing standards directed to specific industries or applications. This standard applies to the development and maintenance of critical software; for example, where failure could impact safety or cause large financial or social losses. For non-critical software, or for software already developed, a subset of the requirements of this standard may be applied. The existence of this standard should not be construed to prohibit additional content in a Software Quality Assurance Plan. An assessment should be made for the specific software product item to assure adequacy of coverage. Where this standard is invoked for a project engaged in producing several software items, the applicability of the standard should be specified for each of the software product items encompassed by the project.",,,10.1109/IEEESTD.1984.7435198,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7435198,assurance;plans;quality;software,ANSI Standards;IEEE Standards;Planning;Quality assurance;Software assurance,ANSI standards;IEEE standards;software quality;software standards,ANSI standards documents;ANSI/IEEE Std 730-1981;IEEE Std 730-1984;IEEE standard software quality assurance plans;noncritical software,,,,,,,,Aug. 9 1984,,IEEE,IEEE Standards,software
IEEE Standard for Software Quality Assurance Plans,,,ANSI/ IEEE Std 730-1981 (Revision of ANSI/ IEEE Std 730),20160317,1981,,,1,12,"The purpose of this standard is to provide uniform, minimum acceptable requirements for preparation and content of Software Quality Assurance Plans (SQAP). This standard applies to the development and maintenance of critical software; for example, where failure could impact safety or cause large financial or social losses. For non-critical software, or for software already developed, a subset of the requirements of this standard may be applied. The existence of this standard should not be construed to prohibit additional content in a Software Quality Assurance Plan. An assessment should be made for the specific software product item to assure adequacy of coverage. Where this standard is invoked for a project engaged in producing several software items, the applicability of the standard should be specified for each of the software product items encompassed by the project.",,,10.1109/IEEESTD.1981.7435204,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7435204,,ANSI Standards;IEEE Standards;Planning;Quality assurance;Software assurance,ANSI standards;IEEE standards;software maintenance;software quality,ANSI/IEEE Std 730 Revision;ANSI/IEEE Std 730-1981;IEEE standard;SQAP;critical software development;critical software maintenance;software product item;software quality assurance plans,,,,,,,,Nov. 13 1981,,IEEE,IEEE Standards,
IEEE Trial Use Standard for Software Quality Assurance Plans,,,ANSI/ IEEE Std 730-1980,20160317,1980,,,1,8,The following topics are dealt with: IEEE trial-use standard; software quality assurance plan; ANSI Std 730 and ANSI/IEEE Std 730.,,,10.1109/IEEESTD.1980.7435195,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7435195,,ANSI Standards;IEEE Standards;Planning;Quality assurance;Software assurance,ANSI standards;IEEE standards;software quality,ANSI Std 730;IEEE Std 730;IEEE trial-use standard;software quality assurance plan,,,,,,,,Feb. 22 1980,,IEEE,IEEE Standards,
IEEE Standard Glossary of Software Engineering Terminology,,,ANSI/ IEEE Std 729-1983,20160317,1983,,,1,40,"Software engineering is an emerging field. New terms are continually being generated, and new meanings are being adopted for existing terms. The Glossary of Software Engineering Terminology was undertaken to document this vocabulary. Its purpose is to identify terms currently used in software engineering and to present the current meanings of these terms. It is intended to serve as a useful reference for software engineers and for those in related fields and to promote clarity and consistency in the vocabulary of software engineering. It is recognized that software engineering is a dynamic area; thus the standard will be subject to appropriate change as becomes necessary.",,,10.1109/IEEESTD.1983.7435207,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7435207,,ANSI Standards;IEEE Standards;Software engineering;Terminology,IEEE standards;glossaries;software engineering,ANSI/IEEE Std 729-1983;IEEE standard glossary;software engineering terminology,,,,,,,,Feb. 18 1983,,IEEE,IEEE Standards,
ISO/IEC/IEEE International Standard - Information technology -- Telecommunications and information exchange between systems -- Local and metropolitan area networks -- Specific requirements -- Part 1Q: Bridges and bridged networks,,,ISO/IEC/IEEE 8802-1Q First edition 2016-03-15,20160317,2016,,,1,1838,"This international standard specifies how the Media Access Control (MAC) Service is supported by Bridged Networks, the principles of operation of those networks, and the operation of MAC Bridges and VLAN Bridges, including management, protocols, and algorithms",,,10.1109/IEEESTD.2016.7435219,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7435219,Bridged Network;IEEE 802.1Q(TM);LAN;MAC Bridge;MSTP;Multiple Spanning Tree Protocol;PBN;Provider Bridged Network;RSTP;Rapid Spanning Tree Protocol;SPB Protocol;Shortest Path Bridging Protocol;VLAN Bridge;Virtual Bridged Network;local area network;metropolitan area networks;virtual LAN,Bridged circuits;IEC Standards;IEEE Standards;ISO Standards;Local area networks;Media Access Protocol;Metropolitan area networks;Virtual LAN,,,,,,,,,,March 15 2016,,IEEE,IEEE Standards,Network
IEEE Standard Real-Time BASIC for CAMAC,,,IEEE Std 726-1979,20160317,1979,,,1,22,"This standard deals with software for the CAMAC modular instrumentation and interface system of ANSI/IEEE Std 583-1975, Modular Instrumentation and Digital Interface System (CAMAC)(also Report EUR 4100e of the Commission of the European Communities). The report on which this document is based, ERDA Report TID-26619, was prepared by the NIM Committee* of the United States Energy Research and Development Administration (now the Department of Energy)and the ESONE Committee** of European Laboratories. The corresponding ESONE document is ESONE/RTB/02.IEEE Std 726-1979 differs from the corresponding ESONE document ESONE/RTB/02 and US Energy Research and Development Administration document TID-26619 in the following respects:(1) The keyword RECEIVE is used in place of the keyword READ for process input.(2) The section on interrupt handling is not included. In particular, reference to the WHEN statement to link an event-name to an interrupt service routine has been deleted.(3) The capability of handling errors at run-time has been deleted.",,,10.1109/IEEESTD.1979.7435201,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7435201,,BASIC programing;Computer applications;Computer languages;Data processing;IEEE Standards;Numerical analysis;Programming,IEEE standards;real-time systems;user interfaces,ANSI Std;CAMAC modular instrumentation;Commission of the European Communities;Department of Energy;ERDA Report TID-26619;ESONE Committee;ESONE document;EUR 4100e;European Laboratories;IEEE Std 583-1975;IEEE standard real-time BASIC;NIM Committee;RTB-02.IEEE Std 726-1979;US Energy Research and Development Administration document TID-26619;United States Energy Research and Development Administration;digital interface system,,,,,,,,Sept. 21 1979,,IEEE,IEEE Standards,
IEEE Trial Use Standard for Microprocessor Universal Format for Object Modules,,,IEEE Std 695-1985,20160317,1985,,,1,28,"This standard specifies the format of linkable, relocatable, and absolute object modules for binary computers of arbitrary word size and architecture. Two levels of compliance are specified, minimum and full. The minimum compliance level affords sufficient flexibility to link separately compiled modules, to relocate addresses in simple ways, and to load the resulting absolute object modules with a minimal loader. The full compliance level affords all of the functionality of the minimum level and adds to it arbitrary address expression handling, type checking capability, librarian control commands, and other useful functions for full generality.",,,10.1109/IEEESTD.1985.7435216,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7435216,,IEEE standards;Integrated circuits;Microprocessors;Object modules;Processor scheduling,IEEE standards;microprocessor chips,IEEE trial use standard;absolute object modules;arbitrary address expression handling;binary computers;compiled modules;full compliance level;librarian control commands;microprocessor universal format;minimum compliance level;type checking capability,,,,,,,,Sept. 9 1985,,IEEE,IEEE Standards,
IEEE Standard for Wireless Access in Vehicular Environments (WAVE) -- Multi-Channel Operation,,,IEEE Std 1609.4-2016 (Revision of IEEE Std 1609.4-2010),20160317,2016,,,1,94,"Multi-channel wireless radio operations, Wireless Access in Vehicular Environments (WAVE) mode, medium access control (MAC), and physical layers (PHYs), including parameters for priority access, channel switching and routing, management services, and primitives designed for multi-channel operations are described in this standard.",,Electronic:978-1-5044-0761-8,10.1109/IEEESTD.2016.7435228,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7435228,IEEE 1609.4(TM);WAVE;Wireless Access in Vehicular Environments;channel coordination;multi-channel operation;user priority,Channel estimation;IEEE Standards;Intelligent transportation systems;Intelligent vehicles;Wireless Access in Vehicular Environments;Wireless communication,access protocols;radio access networks;routing protocols;telecommunication channels;telecommunication switching,IEEE standard;MAC;PHY;WAVE;channel switching;management services;medium access control;multichannel operation;multichannel operations;multichannel wireless radio operations;physical layers;routing;wireless access in vehicular environments,,,,,,,,March 21 2016,,IEEE,IEEE Standards,Wireless
IEEE Standard for Ethernet - Amendment 3: Physical Layer Specifications and Management Parameters for 40 Gb/s and 100 Gb/s Operation over Fiber Optic Cables,,,IEEE Std 802.3bm-2015 (Amendment to IEEE Std 802.3-2012 as amended by IEEE Std 802.3bk-2013 and IEEE Std 802.3bj-2014 ),20160317,2015,,,1,172,Physical Layer specifications and management parameters for 40 Gb/s operation over single-mode fiber (40GBASE-ER4) and for 100 Gb/s operation over multimode fiber (100GBASE-SR4) are added by this amendment. This amendment also specifies a four-lane variant of the 100 Gigabit Attachment Unit Interface (CAUI-4) and optional Energy Efficient Ethernet (EEE) for 40 Gb/s and 100 Gb/s operation over fiber optic cables.,,,10.1109/IEEESTD.2015.7435210,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7435210,100 Gb/s Ethernet;100GBASE-ER4;100GBASE-LR4;100GBASE-SR10;100GBASE-SR4;40 Gb/s Ethernet;40GBASE-ER4;40GBASE-FR;40GBASE-LR4;40GBASE-SR4;CAUI-4;Energy Efficient Ethernet (EEE);Ethernet;IEEE 802.3(TM);IEEE 802.3bm(TM);MMF;Physical Medium Dependent (PMD) sublayer;SMF;amendment;forward error correction (FEC),Ethernet;IEEE 802.3 Standard;IEEE Standards;Passive optical networks;Synchronization;Time measurement,,,,,,,,,,March 27 2015,,IEEE,IEEE Standards,
IEEE Standard Multiple Controllers in a CAMAC Crate,,,ANSI/IEEE Std 675-1979,20160316,1979,,,1,32,"This standard defines a method for incorporating more than one source of control into a CAMAC crate. The standard fully conforms to the mechanical and signal standards of the CAMAC system as described in ANSI/IEEE Std 583-1975, Modular Instrumentation and Digital Interface System (CAMAC), or EUR 4100e. In order to allow more than one Controller to access the Dataway of a CAMAC Crate, an Auxiliary Controller Bus (ACE) and priority arbitration protocol are fully defined. This permits the use of Auxiliary Controllers (ACs) in normal stations in the crate. The ACB carries encoded address information from an AC to the Crate Controller (CC) in the control station of a CAMAC crate, and carries Look-at- Me signals from the CC to the ACs. The ACB, connected between controllers, may also be used to establish priority for control of the CAMAC Dataway. This standard is fully compatible with ANSI/ IEEE Std 595-1976, Serial Highway Interface System (CAMAC), or EUR 6100e, and the ANSIAEEE Std 596-1976, Parallel Highway Interface System (CAMAC) or EUR 4600e. It may also be used in autonomous systems (systems with no external highways) or in systems with Type U Crate Controllers (such as systems with a computer I/O bus as the highway).",,,10.1109/IEEESTD.1979.7434532,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7434532,,ANSI Standards;Autonomous systems;Controllers;Crate controllers;IEEE Standards;Serial Highway Interface System,IEEE standards;computerised instrumentation;system buses,ACE;ANSI/ IEEE Std 595-1976;ANSI/IEEE Std 583-1975;ANSI/IEEE Std 596-1976;CAMAC crate;CAMAC dataway;CC;EUR 4100e;EUR 4600e;EUR 6100e;IEEE standard multiple controllers;autonomous systems;auxiliary controller bus;auxiliary controllers;computer I/O bus;control station;mechanical standard;modular instrumentation and digital interface system;parallel highway interface system;priority arbitration protocol;serial highway interface system;signal standard;type u crate controllers,,,,,,,,Feb. 28 1979,,IEEE,IEEE Standards,
IEEE Standard Techniques for Determination of Germanium Semiconductor Detector Gamma-Ray Efficiency Using a Standard Marinelli (Reentrant) Beaker Geometry,,,ANSI/IEEE Std 680-1978,20160316,1978,,,1,14,"This standard for determination of gamma-ray efficiencies of germanium semiconductor detectors was developed in recognition of the increasing number of large-volume, low-activity samples being measured by gamma-ray spectroscopy. The standardized sample geometry and measurement techniques described, when used in conjunction with the relative efficiency measurement standard ANSI/IEEE Std 325-1971 (Reaff 1977), Test Procedures for Germanium Gamma-Ray Detectors, provide a meaningful assessment of detector performance. It is recognized that many Marinelli beaker geometries are in use. However, the object of this standard is to specify a single configuration for the sole purpose of characterizing detector performance.",,,10.1109/IEEESTD.1978.7434538,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7434538,,ANSI Standards;Gamma rays;Geometry;Germanium;IEEE Standards;Semiconductor detectors,IEEE standards;gamma-ray detection;germanium radiation detectors;measurement standards,ANSI/IEEE Std 680-1978;IEEE Standard Techniques;Standard Marinelli Beaker Geometry;germanium semiconductor detector gamma-ray efficiency,,,,,,,,Dec. 29 1978,,IEEE,IEEE Standards,
IEEE Standard Terminology for Semiconductor Memory,,,ANSI/IEEE Std 662-1980,20160316,1980,,,1,18,"The purpose of this standard is to provide guidelines under which data sheets for new semiconductor memories are to be generated. Adherence to these guidelines should produce data sheets that are concise and consistently define the operation and characteristics of semiconductor memory devices. It is not intended that data sheets already in existence be changed to this format. However, data sheets being generated for the first time for new products should adhere to this standard.",,,10.1109/IEEESTD.1980.7434529,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7434529,memory;semiconductor;terminology,IEEE Standards;Memory;Semiconductor devices;Semiconductor memory;Terminology,IEEE standards;integrated memory circuits,IEEE Std 662-1980;IEEE standard terminology;data sheet;semiconductor memory device,,,,,,,,Nov. 26 1980,,IEEE,IEEE Standards,
IEEE Standard for Semiconductor Memory Test Pattern Language,,,IEEE Std 660-1986,20160316,1986,,,1,14,"The purpose of this standard is to establish a common language for describing functional tests of memory devices. That language definition includes the vocabulary and grammar necessary to specify the functional testing of memory devices. The language is intended to be used as a general descriptive language rather than one for programming a tester. As a result, the grammar and syntax are defined in a looser and more general way than would be required for a programming language.",,,10.1109/IEEESTD.1986.7434526,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7434526,,IEEE Standards;Memory devices;Pattern recognition;Radiation detectors;Semiconductor memory;Test patterns,IEEE standards;electronic engineering computing;programming languages;semiconductor device testing,IEEE standard;descriptive language;memory device functional test;programming language;semiconductor memory test pattern language,,,,,,,,Feb. 18 1986,,IEEE,IEEE Standards,
IEEE Standard for Local and metropolitan area networks-- Bridges and Bridged Networks - Amendment 24: Path Control and Reservation,,,IEEE Std 802.1Qca-2015 (Amendment to IEEE Std 802.1Q-2014 as amended by IEEE Std 802.1Qcd-2015 and IEEE Std 802.1Q-2014/Cor 1-2015),20160316,2016,,,1,120,"Explicit path control, bandwidth reservation, and redundancy (protection, restoration) for data flows are specified in this amendment to IEEE Std 802.1Q-2014.",,,10.1109/IEEESTD.2016.7434544,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7434544,Bridge;Bridged Local Area Network;IEEE 802(R);IEEE 802.1Q(TM);IEEE 802.1Qac(TM);LAN;SPB;Shortest Path Bridging;Virtual Bridged Local Area Network;local area network;metropolitan area network;virtual LAN,Bridged circuits;IEEE Standards;Local area networks;Metropolitan area networks;Virtual LAN,IEEE standards;bandwidth allocation;computer network reliability;data flow analysis;local area networks;metropolitan area networks,IEEE Std 802.1Qca<sup>TM</sup>-2015;IEEE standard;PCR;bandwidth reservation;bridged networks;bridges;data flows;local area networks;metropolitan area networks;path control and reservation;redundancy,,,,,,,,March 11 2016,,IEEE,IEEE Standards,network
IEEE Standard Specification Format Guide and Test Procedure for Single-Axis Laser Gyros,,,ANSI/IEEE Std 647-1981,20160316,1981,,,1,36,"This standard defines the requirements for a single-axis laser gyro to be used as a sensor in an attitude control system, an angular displacement measuring system, an angular rate measuring system. This includes the electronics necessary to operate the gyro and to condition the output signal.",,,10.1109/IEEESTD.1981.7434541,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7434541,axis;gyros;laser;single;specification,Aerospace electronics;Gyroscopes;IEEE Standards;Lasers;Single-axis gyros,IEEE standards;angular measurement;attitude measurement;displacement measurement;measurement by laser beam;optical sensors,IEEE 647-1981 standard;angular displacement measuring system;angular rate measuring system;attitude control system;sensor;single-axis laser gyro,,,,,,,,Dec. 14 1981,,IEEE,IEEE Standards,
IEEE Standard for Ethernet Amendment 1: Physical Layer Specifications and Management Parameters for 100 Mb/s Operation over a Single Balanced Twisted Pair Cable (100BASE-T1),,,IEEE Std 802.3bw-2015 (Amendment to IEEE Std 802.3-2015,20160315,2016,,,1,88,The 100BASE-T1 Physical Layer (PHY) specifications and management parameters for point-to-point full duplex 100 Mb/s operation over single twisted pair balanced cabling is defined in this amendment. This specification provides fully functional and electrical specifications for the type 100BASE-T1 PHY. This specification also specifies the baseband medium used with 100BASE-T1.,,Electronic:978-1-5044-0137-1,10.1109/IEEESTD.2016.7433918,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7433918,100BASE-T1;Ethernet;IEEE 802.3bw(TM);MASTER-SLAVE;Medium Dependent Interface;Physical Coding Sublayer;Physical Medium Attachment;copper;physical layer,Ethernet;IEEE 802.3 Standard;IEEE Standards;Passive optical networks;Synchronization;Time measurement,IEEE standards;local area networks,100BASE-T1;Ethernet;IEEE Std 802.3-2015 Amendment;IEEE Std 802.3bw-2015;PHY specifications;electrical specifications;physical layer specifications;single twisted pair balanced cabling,,,,,,,,March 7 2016,,IEEE,IEEE Standards,Interface
IEEE Standard for Local and metropolitan area networks - Station and Media Access Control Connectivity Discovery,,,IEEE Std 802.1AB-2016 (Revision of IEEE Std 802.1AB-2009),20160315,2016,,,1,146,This document defines a protocol and a set of managed objects that can be used for discovering the physical topology from adjacent stations in IEEE 802(R) LANs.,,Electronic:978-1-5044-0632-1,10.1109/IEEESTD.2016.7433915,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7433915,link layer discovery protocol;management information base;topology discovery;topology information,IEEE Standards;Local area networks;Management Information Bases;Media Access Protocol;Metropolitan area networks;Network topology;Topology,access protocols;metropolitan area networks;telecommunication network topology;wireless LAN,IEEE 802 LAN;IEEE Std 802.1AB-2016;IEEE standard;Revision of IEEE Std 802.1AB-2009;local area network;metropolitan area network;physical topology;protocol;station and media access control connectivity discovery,,,,,,,,March 11 2016,,IEEE,IEEE Standards,management
IEEE Standard Modular Instrumentation and Digital Interface System (CAMAC),,,IEEE Std 583-1975,20160311,1975,,,1,82,This standard is intended to serve as a basis for a range of modular instrumentation capable of interfacing transducers and other devices to digital controllers for data and control. It consists of mechanical standards and signal standards that are sufficient to ensure physical and operational compatibility between units regardless of source.,,,10.1109/IEEESTD.1975.7431915,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7431915,,Digital interfaces;Digital systems;IEEE Standards;Instrumentation;Modular structures;Serial Highway Interface System,IEEE standards;controllers;digital instrumentation;measurement standards;transducers,IEEE Std 583-1975;IEEE standard modular instrumentation;digital controllers;digital interface system;mechanical standards;signal standards;transducers,,,,,,,,Nov. 28 1975,,IEEE,IEEE Standards,
IEEE Supplement to CAMAC IEEE Standards Documents,,,IEEE Std 583A-1979,20160311,1979,,,1,8,"In this supplement, reference is made to page numbers in the IEEE Standards and Department of Energy (DOE) reports. In general, these page numbers are different from those in the corresponding EUR, ESONE and IEC documents.",,,10.1109/IEEESTD.1979.7431924,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7431924,,Digital interface systems;IEEE Standards;Nuclear engineering;Serial Highway Interface System;US Department of Energy,IEEE standards;measurement standards,CAMAC IEEE Standards documents;IEEE Std 583A-1979,,,,,,,,March 11 1979,,IEEE,IEEE Standards,
